Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,ARI_scVI,ARI_gimVI,ARI_tangram,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,NMI_scVI,NMI_gimVI,NMI_tangram,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,AMI_scVI,AMI_gimVI,AMI_tangram,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,HOMO_scVI,HOMO_gimVI,HOMO_tangram,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),scVI zero Exp val (%),gimVI zero Exp val (%),tangram zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),scVI Runtime (s),gimVI Runtime (s),tangram Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB),scVI Memory (MB),gimVI Memory (MB),tangram Memory (MB)
151673_visium_processed.h5ad,2890x15274,2890x2000,Leiden,2000,0.192031369,0.120532157,0.201487264,0.122178982,0.158042548,0.130540976,0.156894442,0.184042891,0.28130124,0.263224365,0.289723858,0.221047609,0.254253639,0.194991536,0.286986304,0.281154639,0.2781437,0.258030722,0.286624218,0.218102676,0.251297277,0.191540405,0.283116964,0.277626134,0.294391719,0.322997227,0.304264741,0.233303639,0.260775077,0.208004919,0.333227876,0.299832002,93.99394464,0.019913495,93.99394464,0,0,0,0,0,2.226078987,0.111615181,15.85459256,0.256909609,256.5466104,424.9200301,8.411349297,94.62662888,77.19265747,165.732151,157.6559134,98.66869354,304.7109795,502.0384645
151673_visium_processed.h5ad,2890x15274,2890x5000,Leiden,5000,0.196362025,0.137224891,0.209594589,0.108087391,0.179053256,0.1352569,0.195822884,0.165153897,0.283466158,0.300499137,0.290468616,0.194681113,0.291970126,0.247737966,0.341633298,0.28587173,0.280681486,0.296411671,0.287701369,0.191632302,0.28955738,0.244254694,0.337665879,0.283142042,0.291980855,0.354019721,0.298138091,0.205200721,0.293000952,0.275205539,0.39428712,0.298600434,92.41686505,0.005349481,92.41686505,0,0,0,0,0,3.692461967,0.206178904,34.7376399,0.598555326,255.8439875,433.1690412,15.84251428,291.9314699,193.116188,410.6255245,388.6580925,167.0297785,605.1336603,870.9244556
151673_visium_processed.h5ad,2890x15274,2890x15274,Leiden,all,0.266961416,0.196699667,0.270138574,0.075430958,0.198845439,0.188252457,0.213358792,0.246239103,0.436482657,0.402552796,0.442132423,0.158398596,0.320624706,0.337684222,0.400650986,0.409281259,0.434324593,0.398275162,0.439989257,0.15475502,0.318340597,0.334878736,0.397408064,0.407001265,0.455305226,0.490423691,0.459932293,0.168834746,0.325915341,0.36413,0.466352953,0.423511313,89.69524392,0.020993678,89.69524392,0,0,0,0,0,6.338472128,0.472030878,106.0799985,1.998288155,283.1550605,524.7892554,46.27259541,749.3673773,589.6334705,1235.747132,1159.411385,397.9186487,1627.45693,2125.877851
151674_visium_processed.h5ad,3197x17130,3197x2000,Leiden,2000,0.211243311,0.120226131,0.203227859,0.194334998,0.232221935,0.187226512,0.152373854,0.244541565,0.333954563,0.273219137,0.321981001,0.312558301,0.329280002,0.251913198,0.316839974,0.310350101,0.331625859,0.26694628,0.319289649,0.309686627,0.326357743,0.248226652,0.313005687,0.307675072,0.344552338,0.352383744,0.335452631,0.346727838,0.353548696,0.290353955,0.379618444,0.329750027,89.54601189,0.239271192,89.54601189,0,0,0,0,0,2.570219994,0.080025434,17.38768435,0.286882401,281.9503644,464.0973732,6.425485849,104.5165548,85.39044189,178.9821692,167.8691244,104.1145611,326.2241068,427.3003607
151674_visium_processed.h5ad,3197x17130,3197x5000,Leiden,5000,0.277790363,0.160747308,0.255167826,0.185313815,0.273633346,0.209481832,0.200855674,0.254732653,0.396244579,0.340010412,0.36688378,0.306733675,0.339292859,0.276705291,0.34805629,0.363611474,0.394181787,0.334892198,0.364721727,0.303807576,0.336750248,0.274225475,0.344633181,0.361437814,0.417058299,0.437159697,0.386330796,0.336949161,0.363275014,0.290306596,0.410963626,0.382839756,88.62391617,0.135014076,88.62391617,0,0,0,0,0,4.412832975,0.226113558,39.45149684,0.624666929,283.616787,491.4083533,11.90629935,330.1334295,213.6106491,444.9829531,416.0333624,180.0597086,658.2394724,834.7738562
151674_visium_processed.h5ad,3197x17130,3197x17130,Leiden,all,0.332782928,0.195221576,0.333479964,0.174349604,0.245903082,0.284900576,0.236585873,0.253270594,0.464861886,0.429802479,0.465935847,0.294963713,0.384888737,0.373710153,0.433183782,0.409043096,0.462847621,0.425426705,0.463925126,0.291504163,0.382067222,0.370829513,0.429818639,0.406371696,0.507861608,0.554498724,0.508915093,0.341300366,0.433065169,0.419513799,0.528806125,0.46621078,5.510310472,0.151817022,5.510310472,0,0,0,0,0,8.2454319,0.763170004,135.2581475,2.340830564,330.226125,601.5108829,142.3200655,927.0403652,731.4784145,1484.969079,1366.142531,486.5793257,1993.593955,2473.749387
151675_visium_processed.h5ad,2081x15148,2081x2000,Leiden,2000,0.272843373,0.172541622,0.294861073,0.276298736,0.439496514,0.198797312,0.274891099,0.277616005,0.37818949,0.344070596,0.400829485,0.4155358,0.499613385,0.283957403,0.363421188,0.347882917,0.375179932,0.337403923,0.398359237,0.411605171,0.497132962,0.279104318,0.358465368,0.344687142,0.390184151,0.432642568,0.402514582,0.466724417,0.505700499,0.317487548,0.43124226,0.355854579,91.64769342,0.209034118,91.64769342,0,0,0,0,0,1.428117037,0.075438738,12.56917167,0.215581656,187.4187791,299.6302037,3.899979591,68.44103813,55.59002686,117.8919525,111.3536348,85.61547661,248.1099558,331.850482
151675_visium_processed.h5ad,2081x15148,2081x5000,Leiden,5000,0.414229907,0.168676743,0.402489089,0.218106899,0.326299636,0.241575456,0.206987957,0.254611055,0.435417461,0.377398986,0.431193213,0.38513251,0.464593677,0.324892378,0.3981743,0.38220688,0.433439573,0.37140118,0.429200337,0.380746009,0.462372809,0.321651298,0.393859134,0.379065818,0.411215455,0.466381565,0.407187502,0.451476338,0.463908415,0.337189959,0.464810025,0.381423449,90.28454589,0.10037482,90.28454589,0,0,0,0,0,2.106391191,0.120203257,24.98895359,0.4231143,189.4656482,314.3560429,7.324097157,198.0318213,138.9688187,292.3347969,274.8721838,134.9824095,465.2070999,598.8357496
151675_visium_processed.h5ad,2081x15148,2081x15148,Leiden,all,0.446452377,0.255012878,0.422043762,0.234801793,0.354298977,0.283996728,0.345606638,0.404615849,0.535624571,0.483738211,0.50483436,0.389878351,0.479170627,0.430320372,0.557360022,0.497061542,0.533705722,0.479157908,0.50213981,0.385159327,0.476674059,0.425818488,0.553568884,0.494293964,0.536740227,0.597255148,0.540747422,0.465022347,0.49794348,0.505771988,0.663592643,0.527505672,87.35684574,0.123484487,87.35684574,0,0,0,0,0,3.869794607,0.318911314,71.96699595,1.276664019,209.0502758,379.3969381,17.47004628,524.59727,421.1522713,871.2766294,811.2696066,298.7841339,1193.140656,1493.46818
151676_visium_processed.h5ad,2220x15434,2220x2000,Leiden,2000,0.255108264,0.160964671,0.249917239,0.255966407,0.290880498,0.201347605,0.173947136,0.237941898,0.367609401,0.329871151,0.36347607,0.357897915,0.388666957,0.277153543,0.314372682,0.3204672,0.364266449,0.323502196,0.360107041,0.354261398,0.385923114,0.272135495,0.309097122,0.316872475,0.381955861,0.412907348,0.377451331,0.393252891,0.40214642,0.314689305,0.383108593,0.332868083,91.1452027,0.051238739,91.1452027,0,0,0,0,0,1.589405775,0.06404233,13.09189439,0.213230371,212.4047215,321.7325354,4.056815624,72.9435339,59.30172729,125.4139147,118.2653313,87.92690563,257.8592777,343.7468042
151676_visium_processed.h5ad,2220x15434,2220x5000,Leiden,5000,0.334843422,0.157604926,0.288384455,0.250650514,0.259680872,0.222449338,0.229599849,0.279636963,0.430192335,0.359582234,0.419190902,0.361432116,0.393394311,0.29871386,0.374977515,0.394998731,0.427292677,0.353585256,0.416236856,0.358219068,0.390248629,0.294387598,0.371140178,0.39230162,0.459606951,0.4549873,0.44808898,0.389729673,0.413941121,0.339250805,0.427485656,0.411308856,89.84120721,0.031144144,89.84120721,0,0,0,0,0,2.432356119,0.121040821,26.22833538,0.441650629,202.2229896,333.8632751,7.435065031,213.4487677,148.3889542,311.1007318,292.0844364,140.575592,489.2470016,628.2153864
151676_visium_processed.h5ad,2220x15434,2220x15434,Leiden,all,0.374365017,0.230719001,0.383595517,0.23085756,0.26589286,0.285947131,0.290766277,0.35430036,0.529225571,0.454598655,0.530128428,0.348099353,0.410280153,0.416340295,0.492368434,0.481932849,0.526858828,0.4491593,0.527479561,0.343690896,0.407250235,0.412306455,0.488433693,0.478678406,0.571127411,0.57849274,0.585214001,0.401966212,0.434718679,0.473851877,0.596616444,0.538722311,86.43503229,0.080984185,86.43503229,0,0,0,0,0,4.340993404,0.340360641,79.6558218,1.435036421,244.3922753,411.2325392,18.68663025,571.3568316,457.7450047,942.1915894,874.5244141,323.6351089,1287.612831,1609.110941
BRCA1_visium_processed.h5ad,3169x18986,3169x2000,Leiden,2000,0.161196084,0.075359464,0.172688889,0.177834113,0.189639235,0.132707324,0.11808911,0.116656331,0.286609766,0.235936055,0.298969567,0.361300643,0.360158737,0.23197431,0.271538055,0.258053486,0.284564568,0.232027502,0.297108155,0.359144929,0.357945947,0.229932193,0.26893022,0.255671998,0.399198325,0.390133311,0.408202943,0.544297371,0.530484602,0.316514983,0.413511478,0.379525332,80.38808772,0.378053014,80.38808772,0,0,0,0,0,2.599162102,0.108969688,19.25596714,0.287785053,276.6764133,451.4565854,6.071531773,103.4580965,84.64276123,168.5556841,153.115963,103.3838339,324.1563854,424.8123798
BRCA1_visium_processed.h5ad,3169x18986,3169x5000,Leiden,5000,0.143529183,0.092746987,0.142041528,0.182920185,0.19131272,0.153175591,0.145569175,0.154641424,0.314241313,0.272985385,0.318068737,0.365929212,0.365721957,0.289072451,0.328728488,0.32225256,0.311677362,0.269144256,0.315631111,0.363491653,0.363367921,0.286936434,0.326071314,0.320086346,0.461367857,0.454905256,0.456779467,0.55842328,0.540985654,0.418880924,0.514849856,0.475796705,79.83952035,0.454496687,79.83952035,0,0,0,0,0,4.284454584,0.202844381,42.49775386,0.652804136,283.8609226,496.0087466,11.34882689,326.4008188,211.7414474,419.8434877,380.5346823,178.3815422,653.2855434,828.7563448
BRCA1_visium_processed.h5ad,3169x18986,3169x18986,Leiden,all,0.183107529,0.08811111,0.183107529,0.140388313,0.191103157,0.146415323,0.123627136,0.173527497,0.379979851,0.315904513,0.379979851,0.329161224,0.378261087,0.316463239,0.317056323,0.373687107,0.377563482,0.311447591,0.377563482,0.326390088,0.375879311,0.313973847,0.314111841,0.371151835,0.570147036,0.555887114,0.570147036,0.522328961,0.575289197,0.474294935,0.50952298,0.572688529,1.828646489,1.263131988,1.828646489,0,0,0,0,0,8.597946405,0.81671524,155.7914648,2.753320456,328.7304139,647.4497249,38.86852241,1008.62416,803.6191463,1532.987557,1353.21925,524.0307226,2179.71327,2700.937273
